nome_municipio,uf,ibge7,ibge6,tse,nome_regiao,regiao_cat,nome_meso_reg,nome_micro_reg,centro_oeste,nordeste,sudeste,sul,norte,reg_metropolitana
ALTA FLORESTA D'OESTE,RO,1100015,110001,310,Norte,4,Leste Rondoniense,Cacoal,0,0,0,0,1,0
ARIQUEMES,RO,1100023,110002,78,Norte,4,Leste Rondoniense,Ariquemes,0,0,0,0,1,0
CABIXI,RO,1100031,110003,450,Norte,4,Leste Rondoniense,Colorado do Oeste,0,0,0,0,1,0
CACOAL,RO,1100049,110004,94,Norte,4,Leste Rondoniense,Cacoal,0,0,0,0,1,0
CEREJEIRAS,RO,1100056,110005,272,Norte,4,Leste Rondoniense,Colorado do Oeste,0,0,0,0,1,0
COLORADO DO OESTE,RO,1100064,110006,230,Norte,4,Leste Rondoniense,Colorado do Oeste,0,0,0,0,1,0
CORUMBIARA,RO,1100072,110007,655,Norte,4,Leste Rondoniense,Colorado do Oeste,0,0,0,0,1,0
COSTA MARQUES,RO,1100080,110008,213,Norte,4,Madeira-Guaporé,Guajará-Mirim,0,0,0,0,1,0
ESPIGAO D'OESTE,RO,1100098,110009,256,Norte,4,Leste Rondoniense,Cacoal,0,0,0,0,1,0
GUAJARA-MIRIM,RO,1100106,110010,19,Norte,4,Madeira-Guaporé,Guajará-Mirim,0,0,0,0,1,0
JARU,RO,1100114,110011,159,Norte,4,Leste Rondoniense,Ji-Paraná,0,0,0,0,1,0
JI-PARANA,RO,1100122,110012,51,Norte,4,Leste Rondoniense,Ji-Paraná,0,0,0,0,1,0
MACHADINHO D'OESTE,RO,1100130,110013,396,Norte,4,Leste Rondoniense,Ariquemes,0,0,0,0,1,0
NOVA BRASILANDIA D'OESTE,RO,1100148,110014,370,Norte,4,Leste Rondoniense,Alvorada D'Oeste,0,0,0,0,1,0
OURO PRETO DO OESTE,RO,1100155,110015,175,Norte,4,Leste Rondoniense,Ji-Paraná,0,0,0,0,1,0
PIMENTA BUENO,RO,1100189,110018,116,Norte,4,Leste Rondoniense,Vilhena,0,0,0,0,1,0
PORTO VELHO,RO,1100205,110020,35,Norte,4,Madeira-Guaporé,Porto Velho,0,0,0,0,1,0
PRESIDENTE MEDICI,RO,1100254,110025,191,Norte,4,Leste Rondoniense,Ji-Paraná,0,0,0,0,1,0
RIO CRESPO,RO,1100262,110026,647,Norte,4,Leste Rondoniense,Ariquemes,0,0,0,0,1,0
ROLIM DE MOURA,RO,1100288,110028,299,Norte,4,Leste Rondoniense,Cacoal,0,0,0,0,1,0
SANTA LUZIA D'OESTE,RO,1100296,110029,353,Norte,4,Leste Rondoniense,Cacoal,0,0,0,0,1,0
VILHENA,RO,1100304,110030,132,Norte,4,Leste Rondoniense,Vilhena,0,0,0,0,1,0
SAO MIGUEL DO GUAPORE,RO,1100320,110032,418,Norte,4,Leste Rondoniense,Alvorada D'Oeste,0,0,0,0,1,0
NOVA MAMORE,RO,1100338,110033,434,Norte,4,Madeira-Guaporé,Porto Velho,0,0,0,0,1,0
ALVORADA D'OESTE,RO,1100346,110034,337,Norte,4,Leste Rondoniense,Alvorada D'Oeste,0,0,0,0,1,0
ALTO ALEGRE DOS PARECIS,RO,1100379,110037,736,Norte,4,Leste Rondoniense,Cacoal,0,0,0,0,1,0
ALTO PARAISO,RO,1100403,110040,639,Norte,4,Leste Rondoniense,Ariquemes,0,0,0,0,1,0
BURITIS,RO,1100452,110045,779,Norte,4,Madeira-Guaporé,Porto Velho,0,0,0,0,1,0
NOVO HORIZONTE DO OESTE,RO,1100502,110050,515,Norte,4,Leste Rondoniense,Cacoal,0,0,0,0,1,0
CACAULANDIA,RO,1100601,110060,620,Norte,4,Leste Rondoniense,Ariquemes,0,0,0,0,1,0
CAMPO NOVO DE RONDONIA,RO,1100700,110070,671,Norte,4,Madeira-Guaporé,Porto Velho,0,0,0,0,1,0
CANDEIAS DO JAMARI,RO,1100809,110080,477,Norte,4,Madeira-Guaporé,Porto Velho,0,0,0,0,1,0
CASTANHEIRAS,RO,1100908,110090,531,Norte,4,Leste Rondoniense,Cacoal,0,0,0,0,1,0
CHUPINGUAIA,RO,1100924,110092,809,Norte,4,Leste Rondoniense,Vilhena,0,0,0,0,1,0
CUJUBIM,RO,1100940,110094,680,Norte,4,Madeira-Guaporé,Porto Velho,0,0,0,0,1,0
GOVERNADOR JORGE TEIXEIRA,RO,1101005,110100,612,Norte,4,Leste Rondoniense,Ji-Paraná,0,0,0,0,1,0
ITAPUA DO OESTE,RO,1101104,110110,493,Norte,4,Madeira-Guaporé,Porto Velho,0,0,0,0,1,0
MINISTRO ANDREAZZA,RO,1101203,110120,604,Norte,4,Leste Rondoniense,Cacoal,0,0,0,0,1,0
MIRANTE DA SERRA,RO,1101302,110130,574,Norte,4,Leste Rondoniense,Ji-Paraná,0,0,0,0,1,0
MONTE NEGRO,RO,1101401,110140,663,Norte,4,Leste Rondoniense,Ariquemes,0,0,0,0,1,0
NOVA UNIAO,RO,1101435,110143,744,Norte,4,Leste Rondoniense,Ji-Paraná,0,0,0,0,1,0
PARECIS,RO,1101450,110145,701,Norte,4,Leste Rondoniense,Vilhena,0,0,0,0,1,0
PIMENTEIRAS DO OESTE,RO,1101468,110146,787,Norte,4,Leste Rondoniense,Colorado do Oeste,0,0,0,0,1,0
PRIMAVERA DE RONDONIA,RO,1101476,110147,728,Norte,4,Leste Rondoniense,Vilhena,0,0,0,0,1,0
SAO FELIPE D'OESTE,RO,1101484,110148,710,Norte,4,Leste Rondoniense,Vilhena,0,0,0,0,1,0
SAO FRANCISCO DO GUAPORE,RO,1101492,110149,795,Norte,4,Madeira-Guaporé,Guajará-Mirim,0,0,0,0,1,0
SERINGUEIRAS,RO,1101500,110150,582,Norte,4,Leste Rondoniense,Alvorada D'Oeste,0,0,0,0,1,0
TEIXEIROPOLIS,RO,1101559,110155,752,Norte,4,Leste Rondoniense,Ji-Paraná,0,0,0,0,1,0
THEOBROMA,RO,1101609,110160,590,Norte,4,Leste Rondoniense,Ji-Paraná,0,0,0,0,1,0
URUPA,RO,1101708,110170,566,Norte,4,Leste Rondoniense,Ji-Paraná,0,0,0,0,1,0
VALE DO ANARI,RO,1101757,110175,698,Norte,4,Leste Rondoniense,Ariquemes,0,0,0,0,1,0
VALE DO PARAISO,RO,1101807,110180,558,Norte,4,Leste Rondoniense,Ji-Paraná,0,0,0,0,1,0
ACRELANDIA,AC,1200013,120001,1120,Norte,4,Vale do Acre,Rio Branco,0,0,0,0,1,0
ASSIS BRASIL,AC,1200054,120005,1570,Norte,4,Vale do Acre,Brasiléia,0,0,0,0,1,0
BRASILEIA,AC,1200104,120010,1058,Norte,4,Vale do Acre,Brasiléia,0,0,0,0,1,0
BUJARI,AC,1200138,120013,1007,Norte,4,Vale do Acre,Rio Branco,0,0,0,0,1,0
CAPIXABA,AC,1200179,120017,1015,Norte,4,Vale do Acre,Rio Branco,0,0,0,0,1,0
CRUZEIRO DO SUL,AC,1200203,120020,1074,Norte,4,Vale do Juruá,Cruzeiro do Sul,0,0,0,0,1,0
EPITACIOLANDIA,AC,1200252,120025,1112,Norte,4,Vale do Acre,Brasiléia,0,0,0,0,1,0
FEIJO,AC,1200302,120030,1139,Norte,4,Vale do Juruá,Tarauacá,0,0,0,0,1,0
JORDAO,AC,1200328,120032,1104,Norte,4,Vale do Juruá,Tarauacá,0,0,0,0,1,0
MANCIO LIMA,AC,1200336,120033,1090,Norte,4,Vale do Juruá,Cruzeiro do Sul,0,0,0,0,1,0
MANOEL URBANO,AC,1200344,120034,1554,Norte,4,Vale do Acre,Sena Madureira,0,0,0,0,1,0
MARECHAL THAUMATURGO,AC,1200351,120035,1040,Norte,4,Vale do Juruá,Cruzeiro do Sul,0,0,0,0,1,0
PLACIDO DE CASTRO,AC,1200385,120038,1511,Norte,4,Vale do Acre,Rio Branco,0,0,0,0,1,0
PORTO WALTER,AC,1200393,120039,1066,Norte,4,Vale do Juruá,Cruzeiro do Sul,0,0,0,0,1,0
RIO BRANCO,AC,1200401,120040,1392,Norte,4,Vale do Acre,Rio Branco,0,0,0,0,1,0
RODRIGUES ALVES,AC,1200427,120042,1082,Norte,4,Vale do Juruá,Cruzeiro do Sul,0,0,0,0,1,0
